Time,Total energy,Position,Velocity
288,0.9999999,0.9181963,-0.5602062
289,0.9999999,0.9176352,-0.5620421
290,0.9999999,0.9170722,-0.5638768
291,0.9999999,0.9165074,-0.5657103
292,0.9999999,0.9159408,-0.5675428
293,0.9999999,0.9153723,-0.5693741
294,0.9999999,0.9148020,-0.5712043
295,0.9999999,0.9142299,-0.5730333
296,0.9999999,0.9136560,-0.5748612
297,0.9999999,0.9130802,-0.5766879
298,0.9999999,0.9125026,-0.5785135
299,0.9999999,0.9119232,-0.5803379
300,0.9999999,0.9113419,-0.5821612
301,0.9999999,0.9107588,-0.5839833
302,0.9999999,0.9101739,-0.5858042
303,0.9999999,0.9095872,-0.5876240
304,0.9999999,0.9089987,-0.5894426
305,0.9999999,0.9084083,-0.5912600
306,0.9999999,0.9078162,-0.5930762
307,0.9999999,0.9072222,-0.5948913
308,0.9999999,0.9066264,-0.5967051
309,0.9999999,0.9060288,-0.5985178
310,0.9999999,0.9054294,-0.6003292
311,0.9999999,0.9048281,-0.6021395
312,0.9999999,0.9042251,-0.6039485
313,0.9999999,0.9036202,-0.6057564
314,0.9999999,0.9030136,-0.6075630
315,0.9999999,0.9024051,-0.6093684
316,0.9999999,0.9017948,-0.6111726
317,0.9999999,0.9011828,-0.6129756
318,0.9999999,0.9005689,-0.6147774
319,0.9999999,0.8999532,-0.6165779
320,0.9999999,0.8993357,-0.6183772
321,0.9999999,0.8987164,-0.6201752
322,0.9999999,0.8980954,-0.6219720
323,0.9999999,0.8974725,-0.6237676
324,0.9999999,0.8968478,-0.6255619
325,0.9999999,0.8962214,-0.6273550
326,0.9999999,0.8955931,-0.6291468
327,0.9999999,0.8949631,-0.6309374
328,0.9999999,0.8943313,-0.6327267
329,0.9999999,0.8936976,-0.6345147
330,0.9999999,0.8930622,-0.6363014
331,0.9999999,0.8924250,-0.6380869
332,0.9999999,0.8917860,-0.6398711
333,0.9999999,0.8911453,-0.6416541
334,0.9999999,0.8905027,-0.6434357
335,0.9999999,0.8898584,-0.6452161
336,0.9999999,0.8892123,-0.6469952
337,0.9999999,0.8885644,-0.6487729
338,0.9999999,0.8879148,-0.6505494
339,0.9999999,0.8872633,-0.6523246
340,0.9999999,0.8866101,-0.6540985
341,0.9999999,0.8859551,-0.6558710
342,0.9999999,0.8852984,-0.6576423
343,0.9999999,0.8846398,-0.6594122
344,0.9999999,0.8839795,-0.6611808
345,0.9999999,0.8833175,-0.6629481
346,0.9999999,0.8826537,-0.6647141
347,0.9999999,0.8819881,-0.6664787
348,0.9999999,0.8813207,-0.6682421
349,0.9999999,0.8806516,-0.6700040
350,0.9999999,0.8799807,-0.6717647
351,0.9999999,0.8793080,-0.6735239
352,0.9999999,0.8786336,-0.6752819
353,0.9999999,0.8779575,-0.6770385
354,0.9999999,0.8772796,-0.6787937
355,0.9999999,0.8765999,-0.6805476
356,0.9999999,0.8759185,-0.6823001
357,0.9999999,0.8752353,-0.6840513
358,0.9999999,0.8745504,-0.6858011
359,0.9999999,0.8738637,-0.6875495
360,0.9999999,0.8731753,-0.6892965
361,0.9999999,0.8724851,-0.6910422
362,0.9999999,0.8717932,-0.6927864
363,0.9999999,0.8710995,-0.6945293
364,0.9999999,0.8704041,-0.6962708
365,0.9999999,0.8697070,-0.6980110
366,0.9999999,0.8690081,-0.6997497
367,0.9999999,0.8683075,-0.7014870
368,0.9999999,0.8676051,-0.7032229
369,0.9999999,0.8669010,-0.7049574
370,0.9999999,0.8661952,-0.7066905
371,0.9999999,0.8654877,-0.7084222
372,0.9999999,0.8647784,-0.7101524
373,0.9999999,0.8640673,-0.7118813
374,0.9999999,0.8633546,-0.7136087
375,0.9999999,0.8626401,-0.7153347
376,0.9999999,0.8619239,-0.7170593
377,0.9999999,0.8612060,-0.7187824
378,0.9999999,0.8604864,-0.7205041
379,0.9999999,0.8597650,-0.7222243
380,0.9999999,0.8590419,-0.7239432
381,0.9999999,0.8583171,-0.7256605
382,0.9999999,0.8575906,-0.7273764
383,0.9999999,0.8568624,-0.7290909
384,0.9999999,0.8561324,-0.7308039
385,0.9999999,0.8554008,-0.7325154
386,0.9999999,0.8546674,-0.7342255
387,0.9999999,0.8539323,-0.7359341
388,0.9999999,0.8531955,-0.7376412
389,0.9999999,0.8524570,-0.7393469
390,0.9999999,0.8517168,-0.7410510
391,0.9999999,0.8509749,-0.7427537
392,0.9999999,0.8502313,-0.7444549
393,0.9999999,0.8494860,-0.7461546
394,0.9999999,0.8487390,-0.7478529
395,0.9999999,0.8479903,-0.7495496
396,0.9999999,0.8472399,-0.7512448
397,0.9999999,0.8464878,-0.7529386
398,0.9999999,0.8457340,-0.7546308
399,0.9999999,0.8449786,-0.7563215
400,0.9999999,0.8442214,-0.7580107
401,0.9999999,0.8434625,-0.7596984
402,0.9999999,0.8427020,-0.7613845
403,0.9999999,0.8419398,-0.7630692
404,0.9999999,0.8411759,-0.7647523
405,0.9999999,0.8404103,-0.7664339
406,0.9999999,0.8396430,-0.7681139
407,0.9999999,0.8388740,-0.7697925
408,0.9999999,0.8381034,-0.7714694
409,0.9999999,0.8373311,-0.7731449
410,0.9999998,0.8365571,-0.7748188
411,0.9999998,0.8357815,-0.7764911
412,0.9999998,0.8350041,-0.7781619
413,0.9999998,0.8342251,-0.7798311
414,0.9999998,0.8334445,-0.7814988
415,0.9999998,0.8326621,-0.7831649
416,0.9999998,0.8318781,-0.7848294
417,0.9999998,0.8310925,-0.7864924
418,0.9999998,0.8303052,-0.7881538
419,0.9999998,0.8295162,-0.7898136
420,0.9999998,0.8287255,-0.7914719
421,0.9999998,0.8279332,-0.7931285
422,0.9999998,0.8271393,-0.7947836
423,0.9999998,0.8263437,-0.7964371
424,0.9999998,0.8255464,-0.7980890
425,0.9999998,0.8247475,-0.7997393
426,0.9999998,0.8239469,-0.8013879
427,0.9999998,0.8231447,-0.8030350
428,0.9999998,0.8223408,-0.8046805
429,0.9999998,0.8215353,-0.8063244
430,0.9999998,0.8207282,-0.8079667
431,0.9999998,0.8199194,-0.8096073
432,0.9999998,0.8191090,-0.8112463
433,0.9999998,0.8182969,-0.8128837
434,0.9999998,0.8174832,-0.8145195
435,0.9999998,0.8166679,-0.8161537
436,0.9999998,0.8158509,-0.8177862
437,0.9999998,0.8150323,-0.8194171
438,0.9999998,0.8142121,-0.8210463
