Size of array,Matrix Time
443,0.2340000E-3
444,0.2350000E-3
445,0.2360000E-3
446,0.2370000E-3
447,0.2370000E-3
448,0.2370000E-3
449,0.2370000E-3
450,0.2370000E-3
451,0.2380000E-3
452,0.2390000E-3
453,0.2400000E-3
454,0.2410000E-3
455,0.2410000E-3
456,0.2410000E-3
457,0.2410000E-3
458,0.2410000E-3
459,0.2420000E-3
460,0.2430000E-3
461,0.2440000E-3
462,0.2450000E-3
463,0.2460000E-3
464,0.2460000E-3
465,0.2460000E-3
466,0.2460000E-3
467,0.2470000E-3
468,0.2480000E-3
469,0.2490000E-3
470,0.2500000E-3
471,0.2500000E-3
472,0.2500000E-3
473,0.2500000E-3
474,0.2500000E-3
475,0.2510000E-3
476,0.2520000E-3
477,0.2530000E-3
478,0.2540000E-3
479,0.2550000E-3
480,0.2560000E-3
481,0.2560000E-3
482,0.2560000E-3
483,0.2560000E-3
484,0.2560000E-3
485,0.2570000E-3
486,0.2580000E-3
487,0.2590000E-3
488,0.2590000E-3
489,0.2590000E-3
490,0.2590000E-3
491,0.2590000E-3
492,0.2590000E-3
493,0.2600000E-3
494,0.2610000E-3
495,0.2610000E-3
496,0.2610000E-3
497,0.2610000E-3
498,0.2610000E-3
499,0.2630000E-3
500,0.2640000E-3
501,0.2640000E-3
502,0.2650000E-3
503,0.2660000E-3
504,0.2670000E-3
505,0.2680000E-3
506,0.2680000E-3
507,0.2680000E-3
508,0.2680000E-3
509,0.2680000E-3
510,0.2680000E-3
511,0.2680000E-3
512,0.2680000E-3
513,0.2690000E-3
514,0.2700000E-3
515,0.2710000E-3
516,0.2720000E-3
517,0.2720000E-3
518,0.2720000E-3
519,0.2720000E-3
520,0.2720000E-3
521,0.2720000E-3
522,0.2720000E-3
523,0.2730000E-3
524,0.2740000E-3
525,0.2740000E-3
526,0.2740000E-3
527,0.2740000E-3
528,0.2740000E-3
529,0.2740000E-3
530,0.2750000E-3
531,0.2760000E-3
532,0.2770000E-3
533,0.2770000E-3
534,0.2770000E-3
535,0.2770000E-3
536,0.2770000E-3
537,0.2770000E-3
538,0.2780000E-3
539,0.2790000E-3
540,0.2800000E-3
541,0.2810000E-3
542,0.2820000E-3
543,0.2820000E-3
544,0.2820000E-3
545,0.2820000E-3
546,0.2820000E-3
547,0.2830000E-3
548,0.2840000E-3
549,0.2850000E-3
550,0.2860000E-3
551,0.2870000E-3
552,0.2870000E-3
553,0.2870000E-3
554,0.2870000E-3
555,0.2870000E-3
556,0.2880000E-3
557,0.2890000E-3
558,0.2900000E-3
559,0.2910000E-3
560,0.2910000E-3
561,0.2910000E-3
562,0.2910000E-3
563,0.2920000E-3
564,0.2930000E-3
565,0.2940000E-3
566,0.2950000E-3
567,0.2960000E-3
568,0.2960000E-3
569,0.2960000E-3
570,0.2960000E-3
571,0.2960000E-3
572,0.2970000E-3
573,0.2980000E-3
574,0.2990000E-3
575,0.3000000E-3
576,0.3000000E-3
577,0.3000000E-3
578,0.3000000E-3
579,0.3010000E-3
580,0.3020000E-3
581,0.3030000E-3
582,0.3040000E-3
583,0.3050000E-3
584,0.3050000E-3
585,0.3050000E-3
586,0.3050000E-3
587,0.3050000E-3
588,0.3050000E-3
589,0.3060000E-3
590,0.3070000E-3
591,0.3080000E-3
592,0.3090000E-3
593,0.3100000E-3
594,0.3100000E-3
595,0.3100000E-3
596,0.3100000E-3
597,0.3100000E-3
598,0.3100000E-3
599,0.3110000E-3
600,0.3120000E-3
601,0.3130000E-3
602,0.3140000E-3
603,0.3150000E-3
604,0.3150000E-3
605,0.3150000E-3
606,0.3150000E-3
607,0.3150000E-3
608,0.3160000E-3
609,0.3170000E-3
610,0.3180000E-3
611,0.3190000E-3
612,0.3190000E-3
613,0.3190000E-3
614,0.3190000E-3
615,0.3190000E-3
616,0.3200000E-3
617,0.3210000E-3
618,0.3220000E-3
619,0.3230000E-3
620,0.3230000E-3
621,0.3230000E-3
622,0.3230000E-3
623,0.3230000E-3
624,0.3240000E-3
625,0.3250000E-3
626,0.3260000E-3
627,0.3270000E-3
628,0.3270000E-3
629,0.3270000E-3
630,0.3270000E-3
631,0.3280000E-3
632,0.3290000E-3
633,0.3300000E-3
634,0.3310000E-3
635,0.3320000E-3
636,0.3330000E-3
637,0.3330000E-3
638,0.3330000E-3
639,0.3330000E-3
640,0.3330000E-3
641,0.3340000E-3
642,0.3350000E-3
643,0.3350000E-3
644,0.3350000E-3
645,0.3350000E-3
646,0.3350000E-3
647,0.3350000E-3
648,0.3360000E-3
649,0.3370000E-3
650,0.3380000E-3
651,0.3380000E-3
652,0.3380000E-3
653,0.3380000E-3
654,0.3380000E-3
655,0.3380000E-3
656,0.3390000E-3
657,0.3400000E-3
658,0.3410000E-3
659,0.3420000E-3
660,0.3420000E-3
661,0.3420000E-3
662,0.3420000E-3
663,0.3420000E-3
664,0.3430000E-3
665,0.3440000E-3
666,0.3450000E-3
667,0.3460000E-3
668,0.3470000E-3
669,0.3480000E-3
670,0.3490000E-3
671,0.3490000E-3
672,0.3490000E-3
673,0.3490000E-3
674,0.3490000E-3
675,0.3500000E-3
676,0.3510000E-3
677,0.3520000E-3
678,0.3530000E-3
679,0.3530000E-3
680,0.3530000E-3
681,0.3530000E-3
682,0.3530000E-3
683,0.3530000E-3
684,0.3540000E-3
685,0.3550000E-3
686,0.3560000E-3
687,0.3560000E-3
688,0.3560000E-3
689,0.3560000E-3
690,0.3560000E-3
691,0.3560000E-3
692,0.3570000E-3
693,0.3580000E-3
694,0.3590000E-3
695,0.3600000E-3
696,0.3600000E-3
697,0.3600000E-3
698,0.3600000E-3
699,0.3600000E-3
700,0.3600000E-3
701,0.3610000E-3
702,0.3620000E-3
703,0.3630000E-3
704,0.3640000E-3
705,0.3650000E-3
706,0.3660000E-3
707,0.3660000E-3
708,0.3660000E-3
709,0.3660000E-3
710,0.3660000E-3
711,0.3670000E-3
712,0.3680000E-3
713,0.3690000E-3
714,0.3700000E-3
715,0.3710000E-3
716,0.3710000E-3
717,0.3710000E-3
718,0.3710000E-3
719,0.3710000E-3
720,0.3710000E-3
721,0.3710000E-3
722,0.3720000E-3
723,0.3730000E-3
724,0.3740000E-3
725,0.3750000E-3
726,0.3760000E-3
727,0.3760000E-3
728,0.3760000E-3
729,0.3760000E-3
730,0.3760000E-3
731,0.3770000E-3
732,0.3780000E-3
733,0.3790000E-3
734,0.3800000E-3
735,0.3800000E-3
736,0.3800000E-3
737,0.3800000E-3
738,0.3800000E-3
739,0.3800000E-3
740,0.3810000E-3
741,0.3810000E-3
742,0.3810000E-3
743,0.3820000E-3
744,0.3830000E-3
745,0.3840000E-3
746,0.3850000E-3
747,0.3860000E-3
748,0.3860000E-3
749,0.3860000E-3
750,0.3860000E-3
751,0.3860000E-3
752,0.3860000E-3
753,0.3870000E-3
754,0.3880000E-3
755,0.3890000E-3
756,0.3900000E-3
757,0.3900000E-3
758,0.3900000E-3
759,0.3900000E-3
760,0.3900000E-3
761,0.3900000E-3
762,0.3910000E-3
763,0.3920000E-3
764,0.3930000E-3
765,0.3940000E-3
766,0.3950000E-3
767,0.3950000E-3
768,0.3950000E-3
769,0.3950000E-3
770,0.3950000E-3
771,0.3960000E-3
772,0.3970000E-3
773,0.3980000E-3
774,0.3990000E-3
775,0.3990000E-3
776,0.3990000E-3
777,0.3990000E-3
778,0.4000000E-3
779,0.4010000E-3
780,0.4020000E-3
781,0.4020000E-3
782,0.4020000E-3
783,0.4020000E-3
784,0.4020000E-3
785,0.4020000E-3
786,0.4030000E-3
787,0.4040000E-3
788,0.4050000E-3
789,0.4060000E-3
790,0.4060000E-3
791,0.4060000E-3
792,0.4060000E-3
793,0.4060000E-3
794,0.4060000E-3
795,0.4070000E-3
796,0.4080000E-3
797,0.4090000E-3
798,0.4090000E-3
799,0.4090000E-3
800,0.4090000E-3
801,0.4090000E-3
802,0.4090000E-3
803,0.4090000E-3
804,0.4100000E-3
805,0.4110000E-3
806,0.4120000E-3
807,0.4120000E-3
808,0.4120000E-3
809,0.4120000E-3
810,0.4130000E-3
811,0.4140000E-3
812,0.4150000E-3
813,0.4160000E-3
814,0.4170000E-3
815,0.4180000E-3
816,0.4180000E-3
817,0.4180000E-3
818,0.4180000E-3
819,0.4180000E-3
820,0.4180000E-3
821,0.4180000E-3
822,0.4190000E-3
823,0.4200000E-3
824,0.4210000E-3
825,0.4220000E-3
826,0.4230000E-3
827,0.4230000E-3
828,0.4230000E-3
829,0.4230000E-3
830,0.4230000E-3
831,0.4240000E-3
832,0.4250000E-3
833,0.4260000E-3
834,0.4260000E-3
835,0.4260000E-3
836,0.4260000E-3
837,0.4260000E-3
838,0.4260000E-3
839,0.4270000E-3
840,0.4280000E-3
841,0.4290000E-3
842,0.4290000E-3
843,0.4290000E-3
844,0.4290000E-3
845,0.4290000E-3
846,0.4300000E-3
847,0.4310000E-3
848,0.4320000E-3
849,0.4330000E-3
850,0.4340000E-3
851,0.4340000E-3
852,0.4340000E-3
853,0.4340000E-3
854,0.4340000E-3
