Size of array,Matrix Time
431,0.4578000E-2
432,0.4582000E-2
433,0.4595000E-2
434,0.4599000E-2
435,0.4605000E-2
436,0.4608000E-2
437,0.4622000E-2
438,0.4636000E-2
439,0.4639000E-2
440,0.4653000E-2
441,0.4667000E-2
442,0.4679000E-2
443,0.4693000E-2
444,0.4707000E-2
445,0.4711000E-2
446,0.4715000E-2
447,0.4718000E-2
448,0.4730000E-2
449,0.4733000E-2
450,0.4746000E-2
451,0.4760000E-2
452,0.4772000E-2
453,0.4785000E-2
454,0.4799000E-2
455,0.4813000E-2
456,0.4817000E-2
457,0.4829000E-2
458,0.4843000E-2
459,0.4858000E-2
460,0.4873000E-2
461,0.4888000E-2
462,0.4892000E-2
463,0.4896000E-2
464,0.4900000E-2
465,0.4914000E-2
466,0.4918000E-2
467,0.4931000E-2
468,0.4945000E-2
469,0.4949000E-2
470,0.4952000E-2
471,0.4965000E-2
472,0.4978000E-2
473,0.4991000E-2
474,0.5004000E-2
475,0.5008000E-2
476,0.5012000E-2
477,0.5015000E-2
478,0.5019000E-2
479,0.5033000E-2
480,0.5047000E-2
481,0.5059000E-2
482,0.5063000E-2
483,0.5067000E-2
484,0.5071000E-2
485,0.5086000E-2
486,0.5090000E-2
487,0.5103000E-2
488,0.5117000E-2
489,0.5121000E-2
490,0.5124000E-2
491,0.5137000E-2
492,0.5151000E-2
493,0.5166000E-2
494,0.5170000E-2
495,0.5174000E-2
496,0.5188000E-2
497,0.5192000E-2
498,0.5206000E-2
499,0.5229000E-2
500,0.5246000E-2
501,0.5262000E-2
502,0.5277000E-2
503,0.5281000E-2
504,0.5294000E-2
505,0.5309000E-2
506,0.5322000E-2
507,0.5326000E-2
508,0.5331000E-2
509,0.5334000E-2
510,0.5350000E-2
511,0.5354000E-2
512,0.5367000E-2
513,0.5371000E-2
514,0.5375000E-2
515,0.5389000E-2
516,0.5393000E-2
517,0.5406000E-2
518,0.5421000E-2
519,0.5433000E-2
520,0.5447000E-2
521,0.5462000E-2
522,0.5483000E-2
523,0.5487000E-2
524,0.5493000E-2
525,0.5507000E-2
526,0.5511000E-2
527,0.5515000E-2
528,0.5529000E-2
529,0.5545000E-2
530,0.5559000E-2
531,0.5574000E-2
532,0.5578000E-2
533,0.5592000E-2
534,0.5607000E-2
535,0.5611000E-2
536,0.5623000E-2
537,0.5638000E-2
538,0.5642000E-2
539,0.5656000E-2
540,0.5670000E-2
541,0.5675000E-2
542,0.5687000E-2
543,0.5700000E-2
544,0.5704000E-2
545,0.5718000E-2
546,0.5731000E-2
547,0.5735000E-2
548,0.5739000E-2
549,0.5754000E-2
550,0.5759000E-2
551,0.5762000E-2
552,0.5765000E-2
553,0.5779000E-2
554,0.5794000E-2
555,0.5807000E-2
556,0.5812000E-2
557,0.5816000E-2
558,0.5830000E-2
559,0.5844000E-2
560,0.5848000E-2
561,0.5862000E-2
562,0.5875000E-2
563,0.5879000E-2
564,0.5892000E-2
565,0.5908000E-2
566,0.5913000E-2
567,0.5927000E-2
568,0.5942000E-2
569,0.5955000E-2
570,0.5968000E-2
571,0.5973000E-2
572,0.5978000E-2
573,0.5992000E-2
574,0.5996000E-2
575,0.6011000E-2
576,0.6025000E-2
577,0.6040000E-2
578,0.6044000E-2
579,0.6057000E-2
580,0.6070000E-2
581,0.6075000E-2
582,0.6079000E-2
583,0.6092000E-2
584,0.6096000E-2
585,0.6110000E-2
586,0.6125000E-2
587,0.6137000E-2
588,0.6142000E-2
589,0.6157000E-2
590,0.6162000E-2
591,0.6181000E-2
592,0.6195000E-2
593,0.6199000E-2
594,0.6212000E-2
595,0.6225000E-2
596,0.6231000E-2
597,0.6243000E-2
598,0.6256000E-2
599,0.6262000E-2
600,0.6275000E-2
601,0.6287000E-2
602,0.6299000E-2
603,0.6312000E-2
604,0.6326000E-2
605,0.6331000E-2
606,0.6344000E-2
607,0.6359000E-2
608,0.6371000E-2
609,0.6376000E-2
610,0.6380000E-2
611,0.6385000E-2
