initM,initL,Matrix Time,Count
1000,1000,0.1108000E-2,11454
1100,1000,0.1140000E-2,11454
1200,1000,0.1200000E-2,11454
1300,1000,0.1216000E-2,11454
1400,1000,0.1203000E-2,11454
1500,1000,0.1230000E-2,11454
1600,1000,0.1219000E-2,11454
1700,1000,0.1361000E-2,11454
1800,1000,0.1418000E-2,11454
1900,1000,0.2483000E-2,11454
2000,1000,0.2021000E-2,11454
2100,1000,0.1944000E-2,11454
20,1100,0.2780000E-3,10890
30,1100,0.2930000E-3,10885
40,1100,0.2910000E-3,10916
50,1100,0.3000000E-3,10908
60,1100,0.3020000E-3,10847
70,1100,0.3170000E-3,10939
80,1100,0.3280000E-3,10957
90,1100,0.3350000E-3,10923
100,1100,0.3330000E-3,10938
200,1100,0.4390000E-3,10948
300,1100,0.5450000E-3,11089
400,1100,0.6260000E-3,11121
500,1100,0.8550000E-3,11103
600,1100,0.8450000E-3,11269
700,1100,0.9120000E-3,11382
800,1100,0.9880000E-3,11444
900,1100,0.1069000E-2,11472
1000,1100,0.1197000E-2,11454
1100,1100,0.1094000E-2,11454
1200,1100,0.1284000E-2,11454
1300,1100,0.1257000E-2,11454
1400,1100,0.1282000E-2,11454
1500,1100,0.1194000E-2,11454
1600,1100,0.1312000E-2,11454
1700,1100,0.1380000E-2,11454
1800,1100,0.1440000E-2,11454
1900,1100,0.1468000E-2,11454
2000,1100,0.2765000E-2,11454
2100,1100,0.2311000E-2,11454
20,1200,0.2650000E-3,10890
30,1200,0.2960000E-3,10885
40,1200,0.2940000E-3,10916
50,1200,0.2920000E-3,10908
60,1200,0.3140000E-3,10847
70,1200,0.3300000E-3,10939
80,1200,0.3160000E-3,10957
90,1200,0.3420000E-3,10923
100,1200,0.3490000E-3,10938
200,1200,0.4570000E-3,10948
300,1200,0.5490000E-3,11089
400,1200,0.6520000E-3,11121
500,1200,0.7250000E-3,11103
600,1200,0.8120000E-3,11269
700,1200,0.9450000E-3,11382
800,1200,0.1281000E-2,11444
900,1200,0.1063000E-2,11472
1000,1200,0.1158000E-2,11454
1100,1200,0.1181000E-2,11454
1200,1200,0.1187000E-2,11454
1300,1200,0.1196000E-2,11454
1400,1200,0.1259000E-2,11454
1500,1200,0.1293000E-2,11454
1600,1200,0.1523000E-2,11454
1700,1200,0.1348000E-2,11454
1800,1200,0.1459000E-2,11454
1900,1200,0.1711000E-2,11454
2000,1200,0.3149000E-2,11454
2100,1200,0.2754000E-2,11454
20,1300,0.2840000E-3,10890
30,1300,0.2900000E-3,10885
40,1300,0.2990000E-3,10916
50,1300,0.2960000E-3,10908
60,1300,0.3100000E-3,10847
70,1300,0.3280000E-3,10939
80,1300,0.3330000E-3,10957
90,1300,0.3470000E-3,10923
100,1300,0.3410000E-3,10938
200,1300,0.4670000E-3,10948
300,1300,0.5720000E-3,11089
400,1300,0.6770000E-3,11121
500,1300,0.7580000E-3,11103
600,1300,0.9280000E-3,11269
700,1300,0.9320000E-3,11382
800,1300,0.1021000E-2,11444
900,1300,0.1126000E-2,11472
1000,1300,0.1209000E-2,11454
1100,1300,0.1285000E-2,11454
1200,1300,0.1351000E-2,11454
1300,1300,0.1405000E-2,11454
1400,1300,0.1494000E-2,11454
1500,1300,0.1476000E-2,11454
1600,1300,0.1478000E-2,11454
1700,1300,0.1592000E-2,11454
1800,1300,0.1806000E-2,11454
1900,1300,0.2053000E-2,11454
2000,1300,0.3293000E-2,11454
2100,1300,0.2407000E-2,11454
20,1400,0.2850000E-3,10890
30,1400,0.2960000E-3,10885
40,1400,0.2820000E-3,10916
50,1400,0.3170000E-3,10908
60,1400,0.3060000E-3,10847
70,1400,0.3130000E-3,10939
80,1400,0.3340000E-3,10957
90,1400,0.3440000E-3,10923
100,1400,0.3660000E-3,10938
200,1400,0.5060000E-3,10948
300,1400,0.5860000E-3,11089
400,1400,0.6660000E-3,11121
500,1400,0.8030000E-3,11103
600,1400,0.8670000E-3,11269
700,1400,0.9800000E-3,11382
800,1400,0.1053000E-2,11444
900,1400,0.1146000E-2,11472
1000,1400,0.1244000E-2,11454
1100,1400,0.1272000E-2,11454
1200,1400,0.1286000E-2,11454
1300,1400,0.1362000E-2,11454
1400,1400,0.1426000E-2,11454
1500,1400,0.1490000E-2,11454
1600,1400,0.1555000E-2,11454
1700,1400,0.1504000E-2,11454
1800,1400,0.1734000E-2,11454
1900,1400,0.1825000E-2,11454
2000,1400,0.3504000E-2,11454
2100,1400,0.2330000E-2,11454
20,1500,0.2750000E-3,10890
30,1500,0.2720000E-3,10885
40,1500,0.3060000E-3,10916
50,1500,0.3570000E-3,10908
60,1500,0.3200000E-3,10847
70,1500,0.3300000E-3,10939
80,1500,0.3180000E-3,10957
90,1500,0.3490000E-3,10923
100,1500,0.3510000E-3,10938
200,1500,0.4830000E-3,10948
300,1500,0.5840000E-3,11089
400,1500,0.6910000E-3,11121
500,1500,0.8820000E-3,11103
600,1500,0.8890000E-3,11269
700,1500,0.9980000E-3,11382
800,1500,0.1074000E-2,11444
900,1500,0.1156000E-2,11472
1000,1500,0.1246000E-2,11454
1100,1500,0.1292000E-2,11454
1200,1500,0.1324000E-2,11454
1300,1500,0.1382000E-2,11454
1400,1500,0.1390000E-2,11454
1500,1500,0.1403000E-2,11454
1600,1500,0.1433000E-2,11454
1700,1500,0.1488000E-2,11454
1800,1500,0.1576000E-2,11454
1900,1500,0.1699000E-2,11454
2000,1500,0.3513000E-2,11454
2100,1500,0.2810000E-2,11454
20,1600,0.2740000E-3,10890
30,1600,0.2710000E-3,10885
40,1600,0.2840000E-3,10916
50,1600,0.3140000E-3,10908
60,1600,0.3130000E-3,10847
70,1600,0.3470000E-3,10939
80,1600,0.3390000E-3,10957
90,1600,0.3540000E-3,10923
100,1600,0.3480000E-3,10938
200,1600,0.4910000E-3,10948
300,1600,0.5970000E-3,11089
400,1600,0.7210000E-3,11121
500,1600,0.7960000E-3,11103
600,1600,0.1036000E-2,11269
700,1600,0.9910000E-3,11382
800,1600,0.1092000E-2,11444
900,1600,0.1241000E-2,11472
1000,1600,0.1305000E-2,11454
1100,1600,0.1297000E-2,11454
1200,1600,0.1355000E-2,11454
1300,1600,0.1383000E-2,11454
1400,1600,0.1410000E-2,11454
1500,1600,0.1430000E-2,11454
1600,1600,0.1514000E-2,11454
1700,1600,0.1513000E-2,11454
1800,1600,0.1597000E-2,11454
1900,1600,0.1764000E-2,11454
2000,1600,0.4035000E-2,11454
2100,1600,0.2524000E-2,11454
20,1700,0.2690000E-3,10890
30,1700,0.2930000E-3,10885
40,1700,0.2870000E-3,10916
50,1700,0.2970000E-3,10908
60,1700,0.3120000E-3,10847
70,1700,0.3340000E-3,10939
80,1700,0.3380000E-3,10957
90,1700,0.3550000E-3,10923
100,1700,0.3670000E-3,10938
200,1700,0.5110000E-3,10948
300,1700,0.6490000E-3,11089
400,1700,0.6980000E-3,11121
500,1700,0.8970000E-3,11103
600,1700,0.9140000E-3,11269
700,1700,0.1007000E-2,11382
800,1700,0.1109000E-2,11444
900,1700,0.1227000E-2,11472
1000,1700,0.1316000E-2,11454
1100,1700,0.1353000E-2,11454
1200,1700,0.1391000E-2,11454
1300,1700,0.1422000E-2,11454
1400,1700,0.1453000E-2,11454
1500,1700,0.1533000E-2,11454
1600,1700,0.1549000E-2,11454
1700,1700,0.1582000E-2,11454
1800,1700,0.1661000E-2,11454
1900,1700,0.1798000E-2,11454
